YEAR,LEVEL,REGION,SECTOR,GRADE,GENDER,S. ENROLLED, PANDEMIC ,STRANDS
2018-2019,JHS,Region I - Ilocos Region,PUBLIC,7,M,"50,959 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PUBLIC,7,M,"34,406 ",N,
2018-2019,JHS,Region III - Central Luzon,PUBLIC,7,M,"104,799 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PUBLIC,7,M,"139,254 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PUBLIC,7,M,"37,235 ",N,
2018-2019,JHS,Region V - Bicol Region,PUBLIC,7,M,"83,040 ",N,
2018-2019,JHS,Region VI - Western Visayas,PUBLIC,7,M,"94,539 ",N,
2018-2019,JHS,Region VII - Central Visayas,PUBLIC,7,M,"89,913 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PUBLIC,7,M,"56,427 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PUBLIC,7,M,"49,237 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,7,M,"49,960 ",N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,7,M,"57,727 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,7,M,"49,829 ",N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,7,M,"31,399 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,7,M,"21,135 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,7,M,"15,986 ",N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,7,M,"101,613 ",N,
2018-2019,JHS,Region I - Ilocos Region,PUBLIC,8,M,"46,330 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PUBLIC,8,M,"29,645 ",N,
2018-2019,JHS,Region III - Central Luzon,PUBLIC,8,M,"93,261 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PUBLIC,8,M,"120,100 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PUBLIC,8,M,"32,229 ",N,
2018-2019,JHS,Region V - Bicol Region,PUBLIC,8,M,"69,570 ",N,
2018-2019,JHS,Region VI - Western Visayas,PUBLIC,8,M,"75,867 ",N,
2018-2019,JHS,Region VII - Central Visayas,PUBLIC,8,M,"71,164 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PUBLIC,8,M,"49,384 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PUBLIC,8,M,"37,649 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,8,M,"41,131 ",N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,8,M,"47,040 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,8,M,"41,451 ",N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,8,M,"28,546 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,8,M,"17,539 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,8,M,"13,377 ",N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,8,M,"90,964 ",N,
2018-2019,JHS,Region I - Ilocos Region,PUBLIC,9,M,"42,071 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PUBLIC,9,M,"25,504 ",N,
2018-2019,JHS,Region III - Central Luzon,PUBLIC,9,M,"82,944 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PUBLIC,9,M,"104,748 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PUBLIC,9,M,"27,435 ",N,
2018-2019,JHS,Region V - Bicol Region,PUBLIC,9,M,"57,758 ",N,
2018-2019,JHS,Region VI - Western Visayas,PUBLIC,9,M,"63,642 ",N,
2018-2019,JHS,Region VII - Central Visayas,PUBLIC,9,M,"60,599 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PUBLIC,9,M,"41,831 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PUBLIC,9,M,"29,619 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,9,M,"32,607 ",N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,9,M,"37,835 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,9,M,"33,382 ",N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,9,M,"23,948 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,9,M,"14,581 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,9,M,"11,749 ",N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,9,M,"81,285 ",N,
