Region,Value
Region I - Ilocos Region,346265
Region II - Cagayan Valley,224708
Region III - Central Luzon,706740
Region IV-A - CALABARZON,906146
Region IV-B - MIMAROPA,239905
Region V - Bicol Region,514971
Region VI - Western Visayas,574057
Region VII - Central Visayas,548666
Region VIII - Eastern Visayas,365901
Region IX - Zamboanga Peninsula,286008
Region X - Northern Mindanao,307911
Region XI - Davao Region,353185
Region XII - Soccsksargen,313220
CARAGA - CARAGA,208197
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,144234
CAR - Cordillera Administrative Region,102295
NCR - National Capital Region,697840
