Region,Enrollees
Region I - Ilocos Region,416746
Region II - Cagayan Valley,269347
Region III - Central Luzon,892253
Region IV-A - CALABARZON,1177847
Region IV-B - MIMAROPA,272820
Region V - Bicol Region,582521
Region VI - Western Visayas,659757
Region VII - Central Visayas,665751
Region VIII - Eastern Visayas,405521
Region IX - Zamboanga Peninsula,319702
 Region X - Northern Mindanao ,382891
 Region XI - Davao Region ,416696
 Region XII - Soccsksargen ,374613
 CARAGA - CARAGA ,236746
 BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,195357
 CAR - Cordillera Administrative Region ,138788
 NCR - National Capital Region ,908939
